model,MAE_mean,MAE_std,MAE_mean_std,MAE_median,MAE_IQR,MAE_min,MAE_max,RMSE_mean,RMSE_std,R2_mean,R2_std,signed_error_mean,signed_error_std,prediction_range_ratio_mean,prediction_range_ratio_std,low_overestimation_proportion,high_underestimation_proportion,low_MAE_mean,low_MAE_std,low_MAE_mean_std,low_signed_error_mean,low_signed_error_std,medium_MAE_mean,medium_MAE_std,medium_MAE_mean_std,medium_signed_error_mean,medium_signed_error_std,high_MAE_mean,high_MAE_std,high_MAE_mean_std,high_signed_error_mean,high_signed_error_std
Measurement RF,163.14724761041919,14.090184665229495,163.15 +/- 14.09,164.3382738126608,13.838780718131432,144.51706151367569,181.83146108325835,219.97088390790935,19.241917156451446,0.1267693984525753,0.1593115078955655,-6.831897978194843,16.76879891172665,0.3698245259130214,0.042799143973299356,0.9448916408668729,1.0,172.56626861811392,32.82941420352496,172.57 +/- 32.83,168.06134484200697,35.98705845657515,90.06701047831736,15.48823243189535,90.07 +/- 15.49,-25.665410141071284,17.569406575388257,364.7003698671666,48.49535363044071,364.70 +/- 48.50,-364.7003698671666,48.49535363044071
Corrected AS-OCT,168.31212746383798,13.4072097294062,168.31 +/- 13.41,170.51399978936888,15.488832000993256,150.09102747990534,184.5043921377145,224.83144911558466,20.093347861247263,0.055568892419442996,0.08109714009130096,-17.12822784147651,53.947745667811674,0.3288341803736033,0.09019478910961085,0.9573099415204679,0.975,174.4950836360106,27.69025889387729,174.50 +/- 27.69,171.00346915261787,28.622558107764593,98.30010801344652,15.290940387441093,98.30 +/- 15.29,-46.21412408916767,54.50848905555997,381.1903206234887,105.9840532433142,381.19 +/- 105.98,-376.5415718441918,115.29173651907657
Fusion,171.34703275828957,12.152448332096961,171.35 +/- 12.15,174.20086500379773,21.18870664748721,158.03990322935817,184.649798185929,232.9800683197826,17.05367520363673,0.02855731955281564,0.08060982358804439,-21.631676473200947,47.463338502363634,0.35236187766213634,0.07365260076335121,0.9424148606811145,0.9777777777777779,162.4997257008272,31.862467797934745,162.50 +/- 31.86,159.64119888163944,33.45422613685201,103.90162126433545,9.195977957951385,103.90 +/- 9.20,-43.67206560340295,46.30849321522279,393.2386429559617,86.56712382220489,393.24 +/- 86.57,-386.76296478755893,87.72996558226609
